heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,3,10,3,2,82,4,60,23,33,25
smoothgrad,avg,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,5,8,3,3,85,4,71,38,50,40
smoothgrad,avg,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,2,2,0,1,93,4,50,50,50,50
smoothgrad,avg,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,96,4,67,100,80,95
smoothgrad,avg,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,96,4,67,100,80,95
smoothgrad,avg,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,1,97,4,82,100,90,98
smoothgrad,avg,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,8,1,3,2,95,4,80,89,84,88
smoothgrad,avg,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,7,2,3,3,93,4,78,78,78,78
smoothgrad,avg,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,2,2,1,1,93,4,50,50,50,50
smoothgrad,avg,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,3,1,1,2,95,4,60,75,67,73
smoothgrad,avg,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,3,1,1,3,95,4,60,75,67,73
smoothgrad,avg,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,1,97,4,83,100,91,98
smoothgrad,avg,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,2,97,4,83,100,91,98
smoothgrad,avg,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,9,1,2,3,95,4,82,90,86,89
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,96,4,71,100,83,96
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,96,4,71,100,83,96
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,96,4,67,100,80,95
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,97,4,90,100,95,99
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,97,4,90,100,95,99
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,97,4,90,100,95,99
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,97,4,89,100,94,99
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,2,97,4,89,100,94,99
smoothgrad,avg,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,97,4,89,100,94,99
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,97,4,78,100,88,97
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,97,4,78,100,88,97
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,97,4,78,100,88,97
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,97,4,89,100,94,99
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,97,4,89,100,94,99
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,97,4,88,100,93,99
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,97,4,78,100,88,97
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,97,4,78,100,88,97
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,97,4,78,100,88,97
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,2,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,11,0,4,3,97,4,85,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,2,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,3,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,2,97,4,86,100,92,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,10,0,11,3,97,4,83,100,91,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,97,4,83,100,91,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,2,97,4,83,100,91,98
smoothgrad,avg,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,3,97,4,83,100,91,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,97,4,83,100,91,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,97,4,83,100,91,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,3,97,4,83,100,91,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,97,4,82,100,90,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,2,97,4,82,100,90,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,3,97,4,82,100,90,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,97,4,87,100,93,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,2,97,4,87,100,93,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,3,97,4,87,100,93,98
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,1,96,4,67,100,80,95
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,96,4,67,100,80,95
smoothgrad,avg,max,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,96,4,67,100,80,95
smoothgrad,avg,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,1,97,4,82,100,90,98
smoothgrad,avg,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,2,97,4,82,100,90,98
smoothgrad,avg,max,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,3,97,4,82,100,90,98
smoothgrad,avg,max,mutants/udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,1,96,4,67,100,80,95
