heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,precision,recall,f1,f3
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,5,5,4,3,84,50,50,50,50
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,92,67,100,80,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,92,67,100,80,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,9,1,4,3,90,64,90,75,87
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,7,2,0,1,89,58,78,67,75
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,7,2,0,2,89,58,78,67,75
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,5,4,0,3,85,50,56,53,55
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,6,7,3,1,82,55,46,50,47
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,12,1,3,2,91,71,92,80,90
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,3,10,3,3,77,38,23,29,24
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,1,91,44,100,62,89
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,2,2,0,2,88,29,50,36,47
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,1,3,0,3,86,17,25,20,24
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,9,0,3,1,92,64,100,78,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,4,5,3,2,84,44,44,44,44
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,3,6,3,3,82,38,33,35,34
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,0,4,1,1,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,2,2,1,2,88,29,50,36,47
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,0,4,1,3,0,0,0,0,0
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,8,2,2,1,89,62,80,70,78
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,10,0,2,2,92,67,100,80,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,1,9,2,3,77,17,10,12,10
