heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg,max,ood/xai-track1-snow-50,3,3,0,0,1,96,4,60,100,75,94
smoothgrad,avg,max,ood/xai-track1-snow-50,3,3,0,0,2,96,4,60,100,75,94
smoothgrad,avg,max,ood/xai-track1-snow-50,2,2,0,1,3,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-60,2,2,0,0,1,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-60,2,2,0,0,2,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-60,2,2,0,0,3,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-70,2,2,0,0,1,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-70,2,2,0,0,2,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-70,2,2,0,0,3,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-80,2,2,0,1,1,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-80,2,2,0,1,2,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-80,3,3,0,0,3,96,4,60,100,75,94
smoothgrad,avg,max,ood/xai-track1-snow-90,2,2,0,0,1,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-90,2,2,0,0,2,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-90,2,2,0,0,3,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-100,2,2,0,0,1,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-100,2,2,0,0,2,96,4,50,100,67,91
smoothgrad,avg,max,ood/xai-track1-snow-100,2,1,1,0,3,94,4,33,50,40,48
smoothgrad,avg-grad,mean,ood/xai-track1-fog-10,2,2,0,1,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-fog-10,2,1,1,1,2,93,6,25,50,33,45
