heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,0,10,4,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,94,7,59,100,74,93
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,1,9,4,2,86,7,12,10,11,10
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,0,10,4,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,7,2,0,1,92,7,50,78,61,74
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,0,9,0,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,0,9,0,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,8,5,3,1,90,7,53,62,57,61
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,0,13,3,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,0,13,3,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,3,1,0,1,93,7,30,75,43,65
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,0,4,0,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,5,4,3,1,90,7,42,56,48,54
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,0,9,3,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_12.5_4,9,0,9,3,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,2,2,1,1,92,7,22,50,31,44
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,0,4,1,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_label_mutated0_MP_25.0_1,4,0,4,1,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,2,8,2,1,87,7,22,20,21,20
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,0,10,2,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,mean,mutants/udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,10,0,10,2,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,max,mutants/gauss-journal-track1-nominal,0,0,0,0,1,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,max,mutants/gauss-journal-track1-nominal,0,0,0,0,2,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,max,mutants/gauss-journal-track1-nominal,0,0,0,0,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,94,7,42,100,59,88
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,94,7,42,100,59,88
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,94,7,36,100,53,85
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,94,7,73,100,84,96
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,94,7,73,100,84,96
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,11,8,3,3,88,7,61,58,59,58
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,94,7,70,100,82,96
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,15,1,3,2,93,7,68,94,79,90
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,94,7,70,100,82,96
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,11,1,3,1,93,7,61,92,73,87
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,7,5,3,2,90,7,50,58,54,57
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,4,8,3,3,87,7,36,33,35,34
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,94,7,50,100,67,91
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,94,7,50,100,67,91
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,4,3,1,3,91,7,36,57,44,54
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,94,7,70,100,82,96
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,15,1,2,2,93,7,68,94,79,90
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,5,9,4,3,87,7,42,36,38,36
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,94,7,50,100,67,91
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,2,5,0,2,89,7,22,29,25,28
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,0,7,0,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,94,7,63,100,77,94
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,10,2,3,2,92,7,59,83,69,80
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,7,4,4,3,91,7,50,64,56,62
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,94,7,63,100,77,94
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,5,7,2,2,88,7,42,42,42,42
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,3,9,2,3,86,7,30,25,27,25
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,11,1,9,1,93,7,61,92,73,87
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,2,94,7,63,100,77,94
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,9,1,11,3,93,7,56,90,69,85
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,94,7,59,100,74,93
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,9,1,4,2,93,7,56,90,69,85
track1-MSE-latent2-selforacle,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,7,3,4,3,91,7,50,70,58,67
