heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,precision,recall,f1,f3
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-40,2,1,1,1,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-40,2,1,1,1,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-50,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-50,2,2,0,0,2,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-50,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-60,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-60,2,1,1,0,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-60,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-70,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-70,2,1,1,0,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-70,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-80,3,3,0,0,1,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-80,3,2,1,0,2,89,29,67,40,59
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-80,3,2,1,0,3,89,29,67,40,59
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-90,2,2,0,1,1,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-90,2,1,1,1,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-90,2,1,1,1,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-100,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-100,2,1,1,0,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-rain-100,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-10,3,3,0,0,1,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-10,2,1,1,1,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-10,2,1,1,1,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-20,2,2,0,1,1,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-20,2,2,0,1,2,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-20,2,1,1,1,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-30,2,2,0,0,1,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-30,2,2,0,0,2,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-30,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-40,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-40,2,2,0,0,2,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-40,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-50,3,3,0,0,1,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-50,3,1,2,0,2,87,17,33,22,30
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-50,2,1,1,1,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-60,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-60,2,1,1,0,2,89,17,50,25,42
