heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-50,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-60,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-60,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-60,2,1,1,0,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-70,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-70,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-70,2,1,1,0,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-80,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-80,3,3,0,0,2,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-80,3,2,1,0,3,93,7,22,67,33,56
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-90,2,2,0,1,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-90,2,2,0,1,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-90,2,1,1,1,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-100,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-100,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-rain-100,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-10,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-10,2,1,1,1,2,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-10,2,1,1,1,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-20,2,2,0,1,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-20,2,1,1,1,2,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-20,2,1,1,1,3,93,7,12,50,20,38
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-30,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-30,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,mean,ood/xai-track1-snow-30,2,1,1,0,3,93,7,12,50,20,38
